product,actual_rating,predicted_eta,num_reviews,category,abs_error,prediction_width,predicted_eta_mean,predicted_eta_hdi_lower,predicted_eta_hdi_upper,predicted_eta_sd,estimated_star_rating,estimated_star_lower,estimated_star_upper
AVphJoZ7ilAPnD_x16oy,4.0,1.418,1,Food,2.582,0.92,1.215,-0.481,3.062,0.941,4.407879490150638,2.4426419466975666,5.0
AVphM8UGLJeJML43YC7R,2.0,0.455,1,Beauty,1.545,1.017,1.639,-0.113,3.685,0.94,4.8991888760139055,2.869061413673233,5.0
AVphMIqnLJeJML43X4sc,5.0,2.251,1,Food,2.749,0.95,1.139,-0.71,2.803,0.913,4.31981460023175,2.1772885283893393,5.0
AVphMOeVLJeJML43X5ut,5.0,1.923,1,Home,3.077,1.038,2.33,0.371,4.552,1.066,5.0,3.4298957126303593,5.0
AVphOLa0ilAPnD_x2zOe,5.0,2.021,1,Home,2.979,1.027,1.962,-0.196,3.707,1.008,5.0,2.772885283893395,5.0
AVphOWOOLJeJML43YUrC,4.666666666666667,2.476,15,School & Office Supplies,2.190666666666667,0.624,1.123,-0.912,3.09,1.058,4.301274623406721,1.9432213209733487,5.0
AVphOeznilAPnD_x23Je,5.0,2.736,1,Food & Beverage,2.264,1.072,1.623,0.223,2.893,0.693,4.880648899188876,3.258400926998841,5.0
AVphQUgt1cnluZ0-ARNp,5.0,2.605,6,Beauty,2.395,0.802,2.236,0.082,4.121,1.047,5.0,3.0950173812282733,5.0
AVphRm8EilAPnD_x3cTX,4.5,1.74,2,Food,2.76,0.941,1.74,0.078,3.756,0.941,5.0,3.090382387022016,5.0
AVphS_ML1cnluZ0-AvwD,5.0,2.52,4,Personal Care,2.48,0.855,2.791,0.631,4.958,1.138,5.0,3.73117033603708,5.0
AVphSrWZilAPnD_x3onE,5.0,2.457,2,Food,2.543,0.872,1.648,-0.447,3.418,0.991,4.909617612977984,2.482039397450753,5.0
AVphTaL4LJeJML43ZQRU,4.5,1.73,2,Household Chemicals,2.77,0.935,1.767,0.465,3.502,0.784,5.0,3.5388180764774044,5.0
AVphUdOBLJeJML43ZdEj,5.0,2.32,1,Movies,2.68,1.043,1.964,0.084,3.862,0.96,5.0,3.0973348783314023,5.0
AVphUfOg1cnluZ0-BB5s,3.0,1.34,2,Movies,1.66,0.933,2.157,0.247,3.819,0.922,5.0,3.286210892236385,5.0
AVphUnYX1cnluZ0-BDfS,5.0,1.99,1,Home,3.01,1.05,1.362,-0.734,4.022,1.203,4.578215527230591,2.149478563151796,5.0
AVphW8d8LJeJML43Z8o8,5.0,2.105,1,Household Essentials,2.895,0.937,0.946,-0.932,3.122,1.034,4.096176129779838,1.9200463499420626,5.0
AVphX0zBLJeJML43aHSv,5.0,2.233,1,Food,2.767,1.083,2.416,0.931,4.26,0.892,5.0,4.078794901506373,5.0
AVphXEWb1cnluZ0-Bij9,2.8,0.11000000000000001,5,Personal Care,2.69,0.752,2.546,0.696,4.511,1.002,5.0,3.8064889918887603,5.0
AVphY3wHLJeJML43aT_5,4.833333333333333,2.53,12,Food,2.3033333333333332,0.62,1.905,-0.19,3.832,1.069,5.0,2.779837775202781,5.0
